USER_ID,STATUS,AMOUNT,NAME,EMAIL
81e9f04e-5a64-43b1-b87c-ecd02efbdc98,PROCESSING,19,Aline Regina Alana da Conceição,alinecon@gmail.com
aca54f57-b04b-4739-9f56-8420d5657fb0,PROCESSING,93,Cristiane Silvana Renata,cris2922@gmail.com
e545e73e-87bb-42ab-9db0-d95b023b0e6d,PROCESSING,2,Ian Renato Farias,inamker@gmail.com
7464f7f4-0253-41cc-aa0c-3ec1112f6875,PROCESSING,81,Sophie Cecília Alessandra Assis,sophieadm@tokiomarine.com.br
81e9f04e-5a64-43b1-b87c-ecd02efbdc98,PROCESSING,0,Aline Regina Alana da Conceição,alinecon@gmail.com
61f7d1aa-47cd-4ff7-963a-9310553adba0,PROCESSING,3,Caroline Kamilly Josefa Martins,caroline@bol.com.br
284be02f-cb0b-4895-ad81-1800f0c181c6,PROCESSING,39,Benedito Carlos Eduardo da Conceição,benedito.eduardoc@hotmail.com
e3306697-92eb-4141-bbce-1440bac6d93e,PROCESSING,27,Teresinha Eliane Rayssa Lima,teresinharayssa@gmail.com
f9dedb65-7350-40f8-8e89-08714f7371be,PROCESSING,28,Eliane Helena Bruna,eliane.bruna@gmail.com
f9dedb65-7350-40f8-8e89-08714f7371be,PROCESSING,52,Eliane Helena Bruna,eliane.bruna@gmail.com
aca54f57-b04b-4739-9f56-8420d5657fb0,PROCESSING,6,Cristiane Silvana Renata,cris2922@gmail.com
e545e73e-87bb-42ab-9db0-d95b023b0e6d,PROCESSING,37,Ian Renato Farias,inamker@gmail.com
aca54f57-b04b-4739-9f56-8420d5657fb0,PROCESSING,34,Cristiane Silvana Renata,cris2922@gmail.com
e3306697-92eb-4141-bbce-1440bac6d93e,PROCESSING,15,Teresinha Eliane Rayssa Lima,teresinharayssa@gmail.com
aca54f57-b04b-4739-9f56-8420d5657fb0,PROCESSING,59,Cristiane Silvana Renata,cris2922@gmail.com
7464f7f4-0253-41cc-aa0c-3ec1112f6875,PROCESSING,9,Sophie Cecília Alessandra Assis,sophieadm@tokiomarine.com.br
61f7d1aa-47cd-4ff7-963a-9310553adba0,PROCESSING,26,Caroline Kamilly Josefa Martins,caroline@bol.com.br
7464f7f4-0253-41cc-aa0c-3ec1112f6875,PROCESSING,15,Sophie Cecília Alessandra Assis,sophieadm@tokiomarine.com.br
f9dedb65-7350-40f8-8e89-08714f7371be,PROCESSING,29,Eliane Helena Bruna,eliane.bruna@gmail.com
e3306697-92eb-4141-bbce-1440bac6d93e,PROCESSING,77,Teresinha Eliane Rayssa Lima,teresinharayssa@gmail.com
81e9f04e-5a64-43b1-b87c-ecd02efbdc98,PROCESSING,89,Aline Regina Alana da Conceição,alinecon@gmail.com
81e9f04e-5a64-43b1-b87c-ecd02efbdc98,PROCESSING,72,Aline Regina Alana da Conceição,alinecon@gmail.com
e3306697-92eb-4141-bbce-1440bac6d93e,PROCESSING,32,Teresinha Eliane Rayssa Lima,teresinharayssa@gmail.com
81e9f04e-5a64-43b1-b87c-ecd02efbdc98,PROCESSING,5,Aline Regina Alana da Conceição,alinecon@gmail.com
aca54f57-b04b-4739-9f56-8420d5657fb0,PROCESSING,3,Cristiane Silvana Renata,cris2922@gmail.com
f9dedb65-7350-40f8-8e89-08714f7371be,PROCESSING,11,Eliane Helena Bruna,eliane.bruna@gmail.com
7464f7f4-0253-41cc-aa0c-3ec1112f6875,PROCESSING,40,Sophie Cecília Alessandra Assis,sophieadm@tokiomarine.com.br
e3306697-92eb-4141-bbce-1440bac6d93e,PROCESSING,46,Teresinha Eliane Rayssa Lima,teresinharayssa@gmail.com
aca54f57-b04b-4739-9f56-8420d5657fb0,PROCESSING,44,Cristiane Silvana Renata,cris2922@gmail.com
81e9f04e-5a64-43b1-b87c-ecd02efbdc98,PROCESSING,34,Aline Regina Alana da Conceição,alinecon@gmail.com
61f7d1aa-47cd-4ff7-963a-9310553adba0,PROCESSING,22,Caroline Kamilly Josefa Martins,caroline@bol.com.br
7464f7f4-0253-41cc-aa0c-3ec1112f6875,PROCESSING,60,Sophie Cecília Alessandra Assis,sophieadm@tokiomarine.com.br
81e9f04e-5a64-43b1-b87c-ecd02efbdc98,PROCESSING,80,Aline Regina Alana da Conceição,alinecon@gmail.com
81e9f04e-5a64-43b1-b87c-ecd02efbdc98,PROCESSING,46,Aline Regina Alana da Conceição,alinecon@gmail.com
284be02f-cb0b-4895-ad81-1800f0c181c6,PROCESSING,22,Benedito Carlos Eduardo da Conceição,benedito.eduardoc@hotmail.com
aca54f57-b04b-4739-9f56-8420d5657fb0,PROCESSING,26,Cristiane Silvana Renata,cris2922@gmail.com
81e9f04e-5a64-43b1-b87c-ecd02efbdc98,PROCESSING,76,Aline Regina Alana da Conceição,alinecon@gmail.com
61f7d1aa-47cd-4ff7-963a-9310553adba0,PROCESSING,17,Caroline Kamilly Josefa Martins,caroline@bol.com.br
61f7d1aa-47cd-4ff7-963a-9310553adba0,PROCESSING,79,Caroline Kamilly Josefa Martins,caroline@bol.com.br
aca54f57-b04b-4739-9f56-8420d5657fb0,PROCESSING,17,Cristiane Silvana Renata,cris2922@gmail.com
81e9f04e-5a64-43b1-b87c-ecd02efbdc98,PROCESSING,55,Aline Regina Alana da Conceição,alinecon@gmail.com
61f7d1aa-47cd-4ff7-963a-9310553adba0,PROCESSING,26,Caroline Kamilly Josefa Martins,caroline@bol.com.br
61f7d1aa-47cd-4ff7-963a-9310553adba0,PROCESSING,81,Caroline Kamilly Josefa Martins,caroline@bol.com.br
e545e73e-87bb-42ab-9db0-d95b023b0e6d,PROCESSING,16,Ian Renato Farias,inamker@gmail.com
284be02f-cb0b-4895-ad81-1800f0c181c6,PROCESSING,15,Benedito Carlos Eduardo da Conceição,benedito.eduardoc@hotmail.com
e545e73e-87bb-42ab-9db0-d95b023b0e6d,PROCESSING,66,Ian Renato Farias,inamker@gmail.com
7464f7f4-0253-41cc-aa0c-3ec1112f6875,PROCESSING,97,Sophie Cecília Alessandra Assis,sophieadm@tokiomarine.com.br
aca54f57-b04b-4739-9f56-8420d5657fb0,PROCESSING,2,Cristiane Silvana Renata,cris2922@gmail.com
f9dedb65-7350-40f8-8e89-08714f7371be,PROCESSING,24,Eliane Helena Bruna,eliane.bruna@gmail.com
61f7d1aa-47cd-4ff7-963a-9310553adba0,PROCESSING,94,Caroline Kamilly Josefa Martins,caroline@bol.com.br
aca54f57-b04b-4739-9f56-8420d5657fb0,PROCESSING,13,Cristiane Silvana Renata,cris2922@gmail.com
e3306697-92eb-4141-bbce-1440bac6d93e,PROCESSING,94,Teresinha Eliane Rayssa Lima,teresinharayssa@gmail.com
284be02f-cb0b-4895-ad81-1800f0c181c6,PROCESSING,6,Benedito Carlos Eduardo da Conceição,benedito.eduardoc@hotmail.com
